*** Avec FheUint512:
Mesures individuelles pour Addition:
Mesure 8: 1.249270648s
Mesure 9: 1.268635548s
Mesure 10: 1.27176199s
Mesure 11: 1.269233687s
Mesure 12: 1.290758777s
Mesure 13: 1.244778104s
Mesure 14: 1.25367257s
Mesure 15: 1.277941138s
Mesure 16: 1.456967925s
Mesure 17: 1.23238951s
Mesure 18: 1.262747158s
Mesure 19: 1.267347683s
Mesure 20: 1.258223548s
Moyenne: 1.280147387s

Mesures individuelles pour Inégalité:
Mesure 1: 1.256122891s
Mesure 2: 1.435108849s
Mesure 3: 1.236785724s
Mesure 4: 1.260825446s
Mesure 5: 1.271699743s
Mesure 6: 1.251710185s
Mesure 7: 1.343513105s
Mesure 8: 1.236435442s
Mesure 9: 1.249547548s
Mesure 10: 1.249322163s
Mesure 11: 1.285762948s
Mesure 12: 1.263724919s
Mesure 13: 1.275229635s
Mesure 14: 1.256465339s
Mesure 15: 1.307490432s
Mesure 16: 1.331932302s
Mesure 17: 1.253724281s
Mesure 18: 1.254978757s
Mesure 19: 1.23474133s
Mesure 20: 1.310966363s
Moyenne: 1.27830437s

Mesures individuelles pour Supérieur strictement:
Mesure 1: 2.357391818s
Mesure 2: 2.128439132s
Mesure 3: 2.122155601s
Mesure 4: 2.134619966s
Mesure 5: 2.130077891s
Mesure 6: 2.151419288s
Mesure 7: 2.298060875s
Mesure 8: 2.144995093s
Mesure 9: 2.14526151s
Mesure 10: 2.094631404s
Mesure 11: 2.347143755s
Mesure 12: 2.209340358s
Mesure 13: 2.119033052s
Mesure 14: 2.141635233s
Mesure 15: 2.60158574s
Mesure 16: 2.125870754s
Mesure 17: 2.122048771s
Mesure 18: 2.138228162s
Mesure 19: 2.113782875s
Mesure 20: 2.111070199s
Moyenne: 2.186839573s

Mesures individuelles pour Supérieur ou égal:
Mesure 1: 2.193844288s
Mesure 2: 2.135326131s
Mesure 3: 2.149078526s
Mesure 4: 2.171177107s
Mesure 5: 2.141865361s
Mesure 6: 2.332579085s
Mesure 7: 2.116614612s
Mesure 8: 2.13230005s
Mesure 9: 2.148347405s
Mesure 10: 2.237713704s
Mesure 11: 2.166149873s
Mesure 12: 2.119660798s
Mesure 13: 2.132951248s
Mesure 14: 2.270484957s
Mesure 15: 2.151362811s
Mesure 16: 2.189075866s
